"exp","wks","bluecol","ind","south","smsa","married","sex","union","ed","black","lwage","id","time"
42,48,"yes",1,"no","no","yes","male","yes",12,"no",6.61338,"165","6"
43,45,"yes",1,"no","no","yes","male","yes",12,"no",6.67834,"165","7"
10,50,"no",0,"no","yes","yes","male","no",15,"no",6.71538,"166","1"
11,48,"no",0,"no","yes","yes","male","no",15,"no",6.78559,"166","2"
12,48,"no",0,"no","yes","yes","male","no",15,"no",6.88449,"166","3"
13,47,"no",0,"no","yes","yes","male","no",15,"no",7.00307,"166","4"
14,43,"no",0,"no","yes","yes","male","no",15,"no",7.09008,"166","5"
15,49,"no",0,"no","yes","yes","male","no",15,"no",7.17012,"166","6"
16,48,"no",0,"no","yes","yes","male","no",15,"no",7.29302,"166","7"
10,20,"yes",0,"no","no","no","female","no",10,"no",5.01064,"167","1"
11,30,"yes",0,"no","no","no","female","no",10,"no",5.01064,"167","2"
12,36,"yes",0,"no","no","no","female","no",10,"no",5.52146,"167","3"
13,52,"yes",0,"no","no","no","female","no",10,"no",5.66988,"167","4"
14,52,"yes",0,"no","no","no","female","no",10,"no",5.73657,"167","5"
15,29,"yes",0,"no","no","no","female","no",10,"no",5.81413,"167","6"
16,40,"yes",0,"no","no","no","female","no",10,"no",5.81413,"167","7"
3,40,"no",0,"no","yes","yes","male","no",17,"no",6.23245,"168","1"
4,42,"no",0,"no","yes","yes","male","no",17,"no",6.57925,"168","2"
5,44,"no",0,"no","yes","yes","male","yes",17,"no",6.65286,"168","3"
6,48,"no",0,"no","yes","yes","male","yes",17,"no",6.74524,"168","4"
7,48,"no",0,"no","yes","yes","male","no",17,"no",7.49554,"168","5"
8,48,"no",0,"no","yes","yes","male","no",17,"no",8.16052,"168","6"
9,50,"no",0,"no","yes","yes","male","no",17,"no",8.3082,"168","7"
25,50,"no",0,"yes","no","yes","male","no",17,"no",6.90575,"169","1"
26,50,"no",0,"yes","no","yes","male","no",17,"no",6.90575,"169","2"
27,51,"no",0,"yes","no","yes","male","no",17,"no",7.40853,"169","3"
28,51,"no",0,"yes","no","yes","male","no",17,"no",7.46737,"169","4"
29,51,"no",0,"yes","no","yes","male","no",17,"no",7.52294,"169","5"
30,49,"no",0,"yes","no","yes","male","no",17,"no",7.46737,"169","6"
31,50,"no",0,"yes","no","yes","male","no",17,"no",7.57558,"169","7"
24,39,"yes",0,"yes","no","yes","male","no",9,"no",5.67332,"170","1"
25,47,"yes",0,"yes","no","yes","male","no",9,"no",5.7462,"170","2"
26,49,"yes",0,"yes","no","yes","male","no",9,"no",5.82895,"170","3"
27,50,"yes",0,"yes","no","yes","male","no",9,"no",6.07993,"170","4"
28,52,"yes",0,"yes","no","yes","male","no",9,"no",5.99146,"170","5"
29,49,"yes",0,"yes","no","yes","male","no",9,"no",5.99146,"170","6"
30,49,"yes",0,"yes","no","yes","male","no",9,"no",6.13773,"170","7"
12,51,"yes",0,"no","yes","no","male","no",12,"yes",5.99146,"171","1"
13,51,"yes",0,"no","yes","no","male","no",12,"yes",5.92693,"171","2"
14,50,"yes",0,"no","yes","no","male","no",12,"yes",6.07993,"171","3"
15,49,"no",0,"no","yes","no","male","no",12,"yes",6.07993,"171","4"
16,45,"no",0,"no","yes","no","male","no",12,"yes",6.2634,"171","5"
17,52,"no",0,"no","yes","no","male","no",12,"yes",6.43775,"171","6"
18,28,"no",0,"no","yes","no","male","no",12,"yes",6.55108,"171","7"
10,48,"no",1,"no","yes","yes","male","no",16,"no",6.90575,"172","1"
11,47,"no",1,"no","yes","yes","male","no",16,"no",6.90575,"172","2"
12,47,"no",1,"no","yes","yes","male","no",16,"no",7.22766,"172","3"
13,46,"no",1,"no","yes","yes","male","no",16,"no",7.29302,"172","4"
14,48,"no",1,"no","yes","yes","male","no",16,"no",7.33368,"172","5"
15,49,"no",0,"no","yes","yes","male","no",16,"no",7.57353,"172","6"
16,50,"no",0,"no","yes","yes","male","no",16,"no",7.27101,"172","7"
28,48,"no",1,"no","yes","yes","male","no",16,"no",6.90575,"173","1"
29,46,"no",1,"no","yes","yes","male","no",16,"no",6.90575,"173","2"
30,46,"no",1,"no","yes","yes","male","no",16,"no",7.34601,"173","3"
31,49,"no",1,"no","yes","yes","male","no",16,"no",7.31322,"173","4"
32,44,"no",1,"no","yes","yes","male","no",16,"no",7.55486,"173","5"
33,48,"no",1,"no","yes","yes","male","no",16,"no",7.71869,"173","6"
34,43,"no",1,"no","yes","yes","male","no",16,"no",7.69621,"173","7"
5,28,"yes",1,"no","yes","no","male","yes",12,"no",6.08222,"174","1"
6,40,"no",1,"no","yes","no","male","yes",12,"no",6.51323,"174","2"
7,29,"yes",1,"no","yes","no","male","yes",12,"no",6.62141,"174","3"
8,46,"yes",1,"no","yes","no","male","yes",12,"no",6.6995,"174","4"
9,48,"yes",1,"no","yes","no","male","yes",12,"no",6.79571,"174","5"
10,49,"yes",1,"no","yes","no","male","yes",12,"no",6.89669,"174","6"
11,48,"yes",1,"no","yes","no","male","yes",12,"no",6.99668,"174","7"
3,49,"no",0,"no","yes","no","female","no",12,"no",5.96615,"175","1"
4,50,"no",0,"no","yes","no","female","no",12,"no",6.11147,"175","2"
5,48,"no",0,"no","yes","no","female","no",12,"no",6.17379,"175","3"
6,49,"no",0,"no","yes","no","female","no",12,"no",6.22059,"175","4"
7,48,"no",0,"no","yes","no","female","no",12,"no",6.28972,"175","5"
8,50,"no",0,"no","yes","no","female","no",12,"no",6.36475,"175","6"
9,49,"no",0,"no","yes","no","female","no",12,"no",6.72743,"175","7"
4,50,"yes",0,"no","no","yes","male","no",14,"no",6.43615,"176","1"
5,50,"no",0,"no","no","yes","male","no",14,"no",6.65929,"176","2"
6,50,"no",0,"no","no","yes","male","no",14,"no",6.74524,"176","3"
7,50,"no",0,"no","no","yes","male","no",14,"no",6.85646,"176","4"
8,50,"no",0,"no","no","yes","male","no",14,"no",6.90776,"176","5"
9,49,"no",0,"no","no","yes","male","no",14,"no",7.1333,"176","6"
10,47,"no",0,"no","no","yes","male","no",14,"no",7.21891,"176","7"
19,49,"no",0,"no","yes","no","female","no",15,"no",6.77422,"177","1"
20,51,"no",0,"no","yes","no","female","no",15,"no",6.82546,"177","2"
21,48,"no",0,"no","yes","no","female","no",15,"no",6.07993,"177","3"
22,49,"no",0,"no","yes","no","female","no",15,"no",6.90776,"177","4"
23,47,"no",0,"no","yes","no","female","no",15,"no",6.21461,"177","5"
24,52,"no",0,"no","yes","no","female","no",15,"no",6.70073,"177","6"
25,50,"no",0,"no","yes","no","female","no",15,"no",6.59304,"177","7"
3,49,"yes",1,"no","no","yes","male","no",9,"no",6.10032,"178","1"
4,48,"yes",1,"no","no","yes","male","no",9,"no",6.15698,"178","2"
5,49,"yes",1,"no","no","yes","male","no",9,"no",6.24222,"178","3"
6,50,"yes",1,"no","no","yes","male","no",9,"no",6.38351,"178","4"
7,51,"yes",1,"no","no","yes","male","no",9,"no",6.42487,"178","5"
8,47,"yes",1,"no","no","yes","male","no",9,"no",6.57228,"178","6"
9,49,"yes",1,"no","no","yes","male","no",9,"no",6.75693,"178","7"
20,47,"yes",0,"no","no","yes","male","no",16,"no",5.7462,"179","1"
21,47,"yes",0,"no","no","yes","male","no",16,"no",5.92693,"179","2"
22,49,"yes",0,"no","no","yes","male","no",16,"no",6.01616,"179","3"
23,50,"yes",0,"no","no","yes","male","no",16,"no",5.94803,"179","4"
24,46,"yes",0,"no","no","yes","male","no",16,"no",6.05209,"179","5"
25,48,"yes",0,"no","no","yes","male","no",16,"no",6.32436,"179","6"
26,49,"yes",0,"no","no","yes","male","no",16,"no",6.3699,"179","7"
11,48,"no",0,"no","yes","yes","male","no",12,"no",6.28972,"180","1"
12,48,"no",0,"no","yes","yes","male","no",12,"no",6.39693,"180","2"
13,50,"no",0,"no","no","yes","male","no",12,"no",6.54535,"180","3"
14,50,"no",0,"no","yes","yes","male","no",12,"no",6.73102,"180","4"
15,51,"no",0,"no","yes","yes","male","no",12,"no",7.49332,"180","5"
16,50,"no",0,"no","yes","yes","male","no",12,"no",6.73102,"180","6"
17,50,"no",0,"no","yes","yes","male","no",12,"no",6.98286,"180","7"
14,46,"yes",1,"yes","no","yes","male","yes",12,"no",6.55108,"181","1"
15,26,"no",1,"yes","no","yes","male","no",12,"no",6.86693,"181","2"
16,50,"no",1,"yes","no","yes","male","no",12,"no",6.9256,"181","3"
17,49,"no",1,"yes","no","yes","male","no",12,"no",7.06476,"181","4"
18,49,"yes",1,"yes","no","yes","male","no",12,"no",7.1309,"181","5"
19,49,"yes",1,"yes","no","yes","male","no",12,"no",7.43838,"181","6"
20,32,"yes",1,"yes","no","yes","male","yes",12,"no",7.14441,"181","7"
8,51,"yes",0,"yes","no","yes","female","no",14,"no",5.85793,"182","1"
9,51,"yes",0,"yes","no","yes","female","no",14,"no",5.8861,"182","2"
10,51,"yes",0,"yes","no","yes","female","no",14,"no",5.99146,"182","3"
11,50,"yes",0,"yes","no","yes","female","no",14,"no",6.02828,"182","4"
12,50,"yes",0,"yes","no","yes","female","no",14,"no",6.10925,"182","5"
13,50,"yes",0,"yes","no","no","female","no",14,"no",6.16331,"182","6"
14,51,"yes",0,"yes","no","no","female","no",14,"no",6.21461,"182","7"
10,36,"yes",0,"yes","no","no","female","no",8,"no",5.42053,"183","1"
11,36,"yes",0,"yes","no","no","female","no",8,"no",5.51745,"183","2"
12,39,"yes",0,"yes","no","no","female","no",8,"no",5.19296,"183","3"
13,36,"yes",0,"yes","no","no","female","no",8,"no",5.34711,"183","4"
14,35,"yes",0,"yes","no","no","female","no",8,"no",5.64191,"183","5"
15,38,"yes",0,"yes","no","no","female","no",8,"no",5.65948,"183","6"
16,41,"yes",0,"yes","no","no","female","no",8,"no",5.75257,"183","7"
25,47,"yes",1,"no","yes","yes","male","no",12,"no",6.55393,"184","1"
26,47,"yes",1,"no","yes","yes","male","no",12,"no",6.71538,"184","2"
27,47,"yes",1,"no","yes","yes","male","no",12,"no",6.62407,"184","3"
28,47,"yes",1,"no","yes","yes","male","no",12,"no",6.83087,"184","4"
29,47,"yes",1,"no","yes","yes","male","no",12,"no",6.95655,"184","5"
30,47,"yes",1,"no","yes","yes","male","yes",12,"no",6.7901,"184","6"
31,47,"yes",1,"no","yes","yes","male","yes",12,"no",7.09008,"184","7"
23,48,"yes",0,"no","no","yes","male","yes",12,"no",6.55108,"185","1"
24,49,"yes",0,"no","no","yes","male","yes",12,"no",6.62007,"185","2"
25,48,"yes",0,"no","no","yes","male","yes",12,"no",6.70564,"185","3"
26,48,"yes",0,"no","no","yes","male","yes",12,"no",6.78559,"185","4"
27,46,"yes",0,"no","no","yes","male","yes",12,"no",6.88857,"185","5"
28,46,"yes",0,"no","no","yes","male","yes",12,"no",7.0076,"185","6"
29,47,"yes",0,"no","no","yes","male","yes",12,"no",7.11233,"185","7"
35,45,"yes",0,"no","yes","yes","male","no",12,"no",6.80239,"186","1"
36,45,"yes",0,"no","yes","yes","male","no",12,"no",6.85646,"186","2"
37,45,"yes",0,"no","yes","yes","male","no",12,"no",6.98008,"186","3"
38,46,"yes",0,"no","yes","yes","male","no",12,"no",7.09589,"186","4"
39,44,"yes",0,"no","yes","yes","male","no",12,"no",7.48829,"186","5"
40,44,"yes",0,"no","yes","yes","male","no",12,"no",7.45124,"186","6"
41,30,"yes",1,"no","yes","yes","male","yes",12,"no",7.47873,"186","7"
22,47,"yes",0,"no","yes","no","male","yes",12,"no",6.90575,"187","1"
23,49,"yes",0,"no","yes","yes","male","yes",12,"no",6.90575,"187","2"
24,45,"yes",0,"no","yes","yes","male","yes",12,"no",7.11639,"187","3"
25,26,"yes",0,"no","yes","yes","male","yes",12,"no",7.07412,"187","4"
26,22,"yes",0,"no","yes","yes","male","yes",12,"no",7.0579,"187","5"
27,48,"yes",0,"no","yes","yes","male","yes",12,"no",7.02643,"187","6"
28,42,"yes",0,"no","yes","yes","male","yes",12,"no",7.26263,"187","7"
10,49,"no",0,"no","yes","yes","male","no",12,"no",6.62007,"188","1"
11,48,"no",0,"no","yes","yes","male","no",12,"no",6.62007,"188","2"
12,48,"no",0,"no","yes","yes","male","no",12,"no",6.83303,"188","3"
13,48,"no",0,"no","yes","yes","male","no",12,"no",6.9256,"188","4"
14,47,"no",0,"no","yes","yes","male","no",12,"no",7.02376,"188","5"
15,46,"no",0,"no","yes","yes","male","no",12,"no",7.06305,"188","6"
16,48,"no",0,"no","yes","yes","male","no",12,"no",7.18311,"188","7"
23,48,"no",0,"no","yes","yes","male","no",17,"no",6.90575,"189","1"
24,48,"no",0,"no","no","yes","male","no",17,"no",6.90575,"189","2"
25,49,"no",0,"no","no","yes","male","no",17,"no",7.04752,"189","3"
26,48,"no",0,"no","no","yes","male","no",17,"no",7.09008,"189","4"
27,48,"no",0,"no","no","yes","male","no",17,"no",7.1309,"189","5"
28,48,"no",0,"no","no","yes","male","no",17,"no",6.99942,"189","6"
29,49,"no",0,"no","no","yes","male","no",17,"no",7.01481,"189","7"
6,51,"yes",1,"yes","no","yes","male","no",9,"no",6.09582,"190","1"
7,51,"yes",1,"yes","no","yes","male","no",9,"no",6.29157,"190","2"
8,50,"yes",1,"yes","no","yes","male","no",9,"no",6.40523,"190","3"
9,50,"yes",1,"yes","no","yes","male","no",9,"no",6.62007,"190","4"
10,49,"yes",1,"yes","no","yes","male","no",9,"no",6.71901,"190","5"
11,50,"yes",1,"yes","no","yes","male","no",9,"no",6.82546,"190","6"
12,50,"yes",1,"yes","no","yes","male","no",9,"no",6.95464,"190","7"
25,50,"yes",1,"yes","no","yes","male","yes",6,"no",6.10032,"191","1"
26,51,"yes",1,"yes","no","yes","male","yes",6,"no",6.29157,"191","2"
27,51,"yes",1,"yes","no","yes","male","yes",6,"no",6.29157,"191","3"
28,51,"yes",1,"yes","no","yes","male","yes",6,"no",6.37161,"191","4"
29,44,"yes",1,"yes","no","yes","male","yes",6,"no",6.47389,"191","5"
30,41,"yes",1,"yes","no","yes","male","yes",6,"no",6.54679,"191","6"
31,42,"yes",1,"yes","no","yes","male","yes",6,"no",6.5903,"191","7"
6,48,"no",1,"no","yes","yes","male","yes",12,"no",6.286,"192","1"
7,49,"no",1,"no","yes","yes","male","yes",12,"no",6.4599,"192","2"
8,42,"no",1,"no","yes","yes","male","yes",12,"no",6.54965,"192","3"
9,15,"no",1,"no","yes","yes","male","yes",12,"no",6.64639,"192","4"
10,44,"no",1,"no","yes","yes","male","yes",12,"no",6.76849,"192","5"
11,47,"yes",1,"no","yes","yes","male","yes",12,"no",6.84162,"192","6"
12,44,"no",1,"no","yes","yes","male","yes",12,"no",6.94794,"192","7"
32,48,"no",0,"no","yes","yes","male","no",16,"no",6.90575,"193","1"
33,49,"no",0,"no","yes","yes","male","no",16,"no",6.90575,"193","2"
34,50,"no",0,"no","yes","yes","male","no",16,"no",7.36518,"193","3"
35,48,"no",0,"no","yes","yes","male","no",16,"no",7.42476,"193","4"
36,49,"no",0,"no","yes","yes","male","no",16,"no",7.46737,"193","5"
37,52,"no",0,"no","yes","yes","male","no",16,"no",7.28139,"193","6"
38,50,"no",0,"no","yes","yes","male","no",16,"no",7.49332,"193","7"
11,47,"yes",0,"no","no","yes","male","yes",12,"no",6.54965,"194","1"
12,45,"yes",0,"no","no","yes","male","yes",12,"no",6.83518,"194","2"
13,48,"yes",0,"no","no","yes","male","yes",12,"no",6.79794,"194","3"
14,48,"yes",0,"no","no","yes","male","yes",12,"no",6.80128,"194","4"
15,48,"yes",0,"no","no","yes","male","yes",12,"no",6.91075,"194","5"
16,51,"yes",1,"no","no","yes","male","yes",12,"no",6.69084,"194","6"
17,49,"yes",1,"no","no","yes","male","yes",12,"no",6.47697,"194","7"
11,52,"no",1,"yes","yes","yes","male","no",16,"no",6.44572,"195","1"
12,50,"no",1,"yes","yes","yes","male","no",16,"no",6.62007,"195","2"
13,50,"no",1,"yes","yes","yes","male","no",16,"no",6.69703,"195","3"
14,50,"no",1,"yes","yes","yes","male","no",16,"no",6.82979,"195","4"
15,50,"no",1,"yes","yes","yes","male","no",16,"no",6.90776,"195","5"
16,51,"no",1,"yes","yes","yes","male","no",16,"no",6.72263,"195","6"
17,52,"no",1,"yes","yes","yes","male","no",16,"no",6.72022,"195","7"
7,46,"yes",0,"yes","no","yes","male","no",9,"no",6.05209,"196","1"
8,50,"yes",0,"yes","no","yes","male","no",9,"no",6.21461,"196","2"
9,49,"yes",0,"yes","no","yes","male","no",9,"no",6.43775,"196","3"
10,48,"yes",0,"yes","no","yes","male","no",9,"no",6.58617,"196","4"
11,50,"yes",0,"yes","no","yes","male","no",9,"no",6.68461,"196","5"
12,50,"yes",0,"yes","no","yes","male","no",9,"no",6.74524,"196","6"
13,40,"yes",0,"yes","no","yes","male","no",9,"no",6.90776,"196","7"
20,50,"yes",1,"yes","no","no","female","no",7,"no",5.53339,"197","1"
21,50,"yes",1,"yes","no","no","female","no",7,"no",5.82008,"197","2"
22,50,"yes",1,"yes","no","no","female","no",7,"no",5.8999,"197","3"
23,50,"yes",1,"yes","no","no","female","no",7,"no",5.97635,"197","4"
24,49,"yes",1,"yes","no","no","female","no",7,"no",6.05209,"197","5"
25,48,"yes",1,"yes","no","no","female","no",7,"no",6.12905,"197","6"
26,39,"yes",1,"yes","no","no","female","no",7,"no",6.21261,"197","7"
29,47,"no",1,"no","no","yes","male","no",12,"no",6.68461,"198","1"
30,48,"no",1,"no","no","yes","male","no",12,"no",6.68461,"198","2"
31,47,"no",1,"no","no","yes","male","no",12,"no",6.77422,"198","3"
32,45,"no",1,"no","no","yes","male","no",12,"no",6.84588,"198","4"
33,45,"no",1,"no","no","yes","male","no",12,"no",7.02554,"198","5"
34,45,"no",1,"no","no","yes","male","no",12,"no",7.08841,"198","6"
35,45,"no",1,"no","no","yes","male","no",12,"no",7.1309,"198","7"
8,50,"no",0,"no","yes","no","male","no",13,"no",6.39693,"199","1"
9,50,"no",0,"no","yes","no","male","no",13,"no",6.51915,"199","2"
10,48,"no",0,"no","yes","no","male","no",13,"no",6.60394,"199","3"
11,50,"no",0,"no","yes","no","male","no",13,"no",6.73815,"199","4"
12,49,"no",0,"no","yes","no","male","no",13,"no",6.84268,"199","5"
13,48,"no",0,"no","yes","no","male","no",13,"no",6.90776,"199","6"
14,50,"no",0,"no","yes","no","male","no",13,"no",7.09008,"199","7"
3,43,"no",0,"no","no","yes","male","no",17,"no",6.17379,"200","1"
4,38,"no",0,"no","no","yes","male","no",17,"no",6.33683,"200","2"
5,36,"no",0,"no","no","yes","male","no",17,"no",6.35437,"200","3"
6,36,"no",0,"no","no","yes","male","no",17,"no",6.39526,"200","4"
7,36,"no",0,"no","no","yes","male","yes",17,"no",6.55108,"200","5"
8,37,"no",0,"no","no","yes","male","yes",17,"no",6.68461,"200","6"
9,38,"no",0,"no","no","yes","male","no",17,"no",6.73102,"200","7"
20,48,"yes",1,"no","no","yes","male","yes",11,"no",6.16331,"201","1"
21,47,"yes",1,"no","no","yes","male","yes",11,"no",6.24222,"201","2"
22,48,"yes",1,"no","no","yes","male","yes",11,"no",6.36647,"201","3"
23,47,"yes",1,"no","no","yes","male","yes",11,"no",6.44254,"201","4"
24,47,"yes",1,"no","no","yes","male","yes",11,"no",6.51026,"201","5"
25,45,"yes",1,"no","no","yes","male","yes",11,"no",6.62407,"201","6"
26,47,"yes",1,"no","no","yes","male","yes",11,"no",6.71538,"201","7"
7,50,"no",0,"yes","yes","no","female","no",12,"no",5.90808,"202","1"
8,50,"no",0,"yes","yes","no","female","no",12,"no",5.92693,"202","2"
9,51,"no",0,"yes","yes","no","female","no",12,"no",6.10702,"202","3"
10,51,"no",0,"yes","yes","no","female","no",12,"no",6.26149,"202","4"
11,48,"no",0,"yes","yes","no","female","no",12,"no",6.26149,"202","5"
12,50,"no",0,"yes","yes","no","female","no",12,"no",6.31716,"202","6"
13,50,"no",0,"yes","yes","no","female","no",12,"no",6.42487,"202","7"
19,46,"no",0,"no","yes","yes","male","no",9,"no",6.07993,"203","1"
20,52,"no",0,"no","yes","yes","male","no",9,"no",6.07993,"203","2"
21,51,"no",0,"no","yes","yes","male","no",9,"no",6.13773,"203","3"
22,50,"no",0,"no","yes","yes","male","no",9,"no",6.18826,"203","4"
23,51,"no",0,"no","yes","yes","male","no",9,"no",6.18826,"203","5"
24,51,"no",0,"no","yes","yes","male","no",9,"no",5.96615,"203","6"
25,52,"no",0,"no","yes","yes","male","no",9,"no",6.01616,"203","7"
32,50,"yes",0,"yes","no","yes","male","yes",9,"no",6.47697,"204","1"
33,48,"yes",0,"yes","no","yes","male","yes",9,"no",6.53669,"204","2"
34,45,"yes",0,"yes","no","yes","male","no",9,"no",6.58617,"204","3"
35,38,"yes",0,"yes","no","yes","male","yes",9,"no",6.67203,"204","4"
36,28,"yes",0,"yes","no","yes","male","yes",9,"no",6.80239,"204","5"
37,44,"yes",0,"yes","no","yes","male","yes",9,"no",6.93731,"204","6"
38,46,"yes",0,"yes","no","yes","male","yes",9,"no",7.04752,"204","7"
25,45,"yes",0,"yes","no","yes","male","yes",12,"no",6.54679,"205","1"
26,48,"yes",0,"yes","no","yes","male","yes",12,"no",6.68461,"205","2"
27,42,"yes",0,"yes","no","yes","male","yes",12,"no",6.90776,"205","3"
28,36,"yes",0,"yes","no","yes","male","yes",12,"no",6.69456,"205","4"
29,48,"yes",0,"yes","no","yes","male","yes",12,"no",6.90776,"205","5"
30,34,"yes",0,"yes","no","yes","male","yes",12,"no",6.93828,"205","6"
31,34,"yes",0,"yes","no","yes","male","yes",12,"no",7.04839,"205","7"
12,48,"no",0,"no","yes","yes","male","no",13,"no",6.90575,"206","1"
13,50,"no",0,"no","yes","yes","male","no",13,"no",6.90575,"206","2"
14,50,"no",0,"no","no","yes","male","no",13,"no",7.34278,"206","3"
15,49,"no",0,"no","no","yes","male","no",13,"no",7.47591,"206","4"
16,49,"no",0,"no","yes","yes","male","no",13,"no",7.50108,"206","5"
17,49,"no",0,"no","yes","yes","male","no",13,"no",7.21744,"206","6"
18,47,"no",0,"no","yes","yes","male","no",13,"no",7.87284,"206","7"
13,51,"no",0,"no","yes","yes","male","no",17,"no",6.90575,"207","1"
14,35,"no",0,"no","yes","yes","male","no",17,"no",6.90575,"207","2"
15,52,"no",0,"no","yes","yes","male","no",17,"no",7.31322,"207","3"
16,52,"no",0,"no","yes","yes","male","no",17,"no",7.70661,"207","4"
17,52,"no",0,"no","yes","yes","male","no",17,"no",6.98286,"207","5"
18,52,"no",0,"no","yes","yes","male","no",17,"no",7.46737,"207","6"
19,51,"no",0,"no","yes","yes","male","no",17,"no",7.91936,"207","7"
15,22,"yes",0,"no","yes","no","female","no",11,"yes",5.39363,"208","1"
16,46,"yes",0,"no","yes","no","female","no",11,"yes",5.52146,"208","2"
17,50,"yes",0,"no","yes","no","female","yes",11,"yes",5.75257,"208","3"
18,49,"yes",0,"no","yes","no","female","yes",11,"yes",5.75257,"208","4"
19,50,"yes",0,"no","yes","no","female","yes",11,"yes",5.81413,"208","5"
20,41,"yes",0,"no","yes","no","female","no",11,"yes",5.95324,"208","6"
21,42,"yes",0,"no","yes","no","female","no",11,"yes",6.05209,"208","7"
23,49,"no",0,"no","no","yes","male","no",17,"no",6.55108,"209","1"
24,40,"no",0,"no","no","yes","male","no",17,"no",6.67203,"209","2"
25,44,"no",0,"no","no","yes","male","no",17,"no",6.66568,"209","3"
26,43,"no",0,"no","no","yes","male","no",17,"no",6.67203,"209","4"
27,41,"no",0,"no","no","yes","male","no",17,"no",6.71538,"209","5"
28,40,"no",0,"no","no","yes","male","no",17,"no",6.80239,"209","6"
29,42,"no",0,"no","no","yes","male","no",17,"no",6.8977,"209","7"
34,39,"yes",1,"no","no","no","male","yes",8,"no",6.62007,"210","1"
35,48,"yes",1,"no","no","no","male","yes",8,"no",6.62007,"210","2"
36,48,"yes",1,"no","no","no","male","yes",8,"no",6.71538,"210","3"
37,48,"yes",1,"no","no","no","male","yes",8,"no",6.80239,"210","4"
38,47,"yes",1,"no","no","no","male","yes",8,"no",6.85646,"210","5"
39,45,"yes",1,"no","no","no","male","yes",8,"no",6.90776,"210","6"
40,45,"yes",1,"no","no","no","male","yes",8,"no",6.95655,"210","7"
30,49,"no",1,"no","yes","yes","male","no",10,"no",6.77422,"211","1"
31,48,"no",1,"no","yes","yes","male","no",10,"no",6.90575,"211","2"
32,49,"no",1,"no","yes","yes","male","no",10,"no",6.90776,"211","3"
33,49,"no",1,"no","yes","yes","male","no",10,"no",7.3696,"211","4"
34,52,"no",1,"no","yes","yes","male","no",10,"no",7.45298,"211","5"
35,49,"no",1,"no","yes","yes","male","no",10,"no",7.64969,"211","6"
36,48,"no",1,"no","yes","yes","male","yes",10,"no",7.54961,"211","7"
7,49,"no",1,"no","yes","yes","male","no",17,"no",6.90575,"212","1"
8,48,"no",1,"no","yes","yes","male","no",17,"no",6.90575,"212","2"
9,49,"no",1,"no","yes","yes","male","no",17,"no",7.09008,"212","3"
10,49,"no",1,"no","yes","yes","male","no",17,"no",7.20786,"212","4"
11,47,"no",1,"no","yes","yes","male","no",17,"no",7.31322,"212","5"
12,49,"no",1,"no","yes","yes","male","no",17,"no",7.20117,"212","6"
13,49,"no",1,"no","yes","yes","male","no",17,"no",7.6009,"212","7"
27,48,"no",0,"no","yes","yes","male","no",11,"no",6.90575,"213","1"
28,49,"yes",0,"no","yes","yes","male","no",11,"no",6.90575,"213","2"
29,49,"yes",0,"no","yes","yes","male","no",11,"no",7.00307,"213","3"
30,51,"yes",0,"no","yes","yes","male","no",11,"no",7.09008,"213","4"
31,48,"yes",0,"no","yes","yes","male","no",11,"no",7.1309,"213","5"
32,49,"yes",0,"no","yes","yes","male","no",11,"no",7.08171,"213","6"
33,48,"yes",1,"no","yes","yes","male","no",11,"no",7.24423,"213","7"
24,49,"no",0,"no","yes","yes","male","no",12,"no",6.286,"214","1"
25,48,"yes",0,"no","yes","yes","male","no",12,"no",6.35437,"214","2"
26,49,"yes",0,"no","yes","yes","male","no",12,"no",6.43775,"214","3"
27,49,"yes",0,"no","yes","yes","male","no",12,"no",6.43775,"214","4"
28,49,"yes",0,"no","yes","yes","male","no",12,"no",6.47697,"214","5"
29,49,"yes",0,"no","yes","yes","male","no",12,"no",6.55108,"214","6"
30,49,"yes",0,"no","yes","yes","male","no",12,"no",6.55108,"214","7"
35,48,"no",0,"yes","yes","yes","male","no",16,"yes",6.2634,"215","1"
36,50,"no",0,"yes","yes","yes","male","no",16,"yes",6.17379,"215","2"
37,50,"no",0,"yes","yes","yes","male","no",16,"yes",6.10925,"215","3"
38,46,"no",0,"yes","yes","yes","male","no",16,"yes",6.10925,"215","4"
39,52,"no",0,"yes","yes","yes","male","no",16,"yes",6.30992,"215","5"
40,51,"no",0,"yes","yes","yes","male","no",16,"yes",6.21461,"215","6"
41,50,"no",0,"yes","yes","yes","male","no",16,"yes",6.39693,"215","7"
17,49,"no",0,"yes","yes","yes","male","no",17,"no",6.85646,"216","1"
18,49,"no",0,"yes","yes","yes","male","no",17,"no",6.90575,"216","2"
19,49,"no",0,"yes","yes","yes","male","no",17,"no",7.04752,"216","3"
20,49,"no",0,"yes","yes","yes","male","no",17,"no",7.1309,"216","4"
21,47,"no",0,"yes","yes","yes","male","no",17,"no",7.24423,"216","5"
22,48,"no",0,"yes","yes","yes","male","no",17,"no",6.99485,"216","6"
23,48,"no",0,"yes","yes","yes","male","no",17,"no",7.54961,"216","7"
4,49,"no",0,"no","no","yes","male","no",13,"no",6.05209,"217","1"
5,50,"no",0,"no","no","yes","male","no",13,"no",6.05209,"217","2"
6,50,"no",0,"no","no","yes","male","no",13,"no",6.21461,"217","3"
7,51,"no",0,"no","no","yes","male","no",13,"no",6.33328,"217","4"
