"year","country","opec","com","pop","gdp","sr"
1969,"LIBERIA","no","no",1333,949,11.9
1970,"LIBERIA","no","no",1394,982,10.2
1971,"LIBERIA","no","no",1427,1068,8.6
1972,"LIBERIA","no","no",1470,944,15.2
1973,"LIBERIA","no","no",1515,1037,5.6
1974,"LIBERIA","no","no",1561,1053,6.9
1975,"LIBERIA","no","no",1609,946,14
1976,"LIBERIA","no","no",1659,992,13.1
1977,"LIBERIA","no","no",1711,1029,11.7
1978,"LIBERIA","no","no",1765,1034,10.5
1979,"LIBERIA","no","no",1821,1015,11.5
1980,"LIBERIA","no","no",1879,927,11.3
1981,"LIBERIA","no","no",1939,962,6.4
1982,"LIBERIA","no","no",2001,936,5.4
1983,"LIBERIA","no","no",2066,921,4.3
1984,"LIBERIA","no","no",2132,869,3.8
1985,"LIBERIA","no","no",2199,853,3.1
1960,"MADAGASCAR","no","no",5336,1191,1.3
1961,"MADAGASCAR","no","no",5463,1179,1.1
1962,"MADAGASCAR","no","no",5593,1185,0.9
1963,"MADAGASCAR","no","no",5726,1152,1.2
1964,"MADAGASCAR","no","no",5863,1120,1.4
1965,"MADAGASCAR","no","no",6003,1111,1.2
1966,"MADAGASCAR","no","no",6145,1111,1.2
1967,"MADAGASCAR","no","no",6292,1121,1.3
1968,"MADAGASCAR","no","no",6441,1095,1.6
1969,"MADAGASCAR","no","no",6595,1132,1.7
1970,"MADAGASCAR","no","no",6752,1146,1.5
1971,"MADAGASCAR","no","no",6908,1206,1.6
1972,"MADAGASCAR","no","no",7069,1137,1.3
1973,"MADAGASCAR","no","no",7237,1069,1.4
1974,"MADAGASCAR","no","no",7414,1014,1.5
1975,"MADAGASCAR","no","no",7604,995,1.5
1976,"MADAGASCAR","no","no",7814,930,1.3
1977,"MADAGASCAR","no","no",8030,939,1.2
1978,"MADAGASCAR","no","no",8253,905,1.2
1979,"MADAGASCAR","no","no",8481,995,1.8
1980,"MADAGASCAR","no","no",8714,984,1.7
1981,"MADAGASCAR","no","no",8951,847,1.3
1982,"MADAGASCAR","no","no",9189,821,1.1
1983,"MADAGASCAR","no","no",9435,795,1.1
1984,"MADAGASCAR","no","no",9698,766,1.2
1985,"MADAGASCAR","no","no",9985,769,1.1
1960,"MALAWI","no","no",3530,380,6.1
1961,"MALAWI","no","no",3609,412,7.4
1962,"MALAWI","no","no",3689,387,5.1
1963,"MALAWI","no","no",3771,382,6
1964,"MALAWI","no","no",3855,371,4.3
1965,"MALAWI","no","no",3941,412,7.7
1966,"MALAWI","no","no",4028,440,10
1967,"MALAWI","no","no",4146,457,6.6
1968,"MALAWI","no","no",4266,451,8.7
1969,"MALAWI","no","no",4390,464,10.1
1970,"MALAWI","no","no",4518,440,17.1
1971,"MALAWI","no","no",4651,505,12.5
1972,"MALAWI","no","no",4791,498,15.8
1973,"MALAWI","no","no",4936,479,10.9
1974,"MALAWI","no","no",5087,487,13.6
1975,"MALAWI","no","no",5244,509,16.6
1976,"MALAWI","no","no",5410,508,13.2
1977,"MALAWI","no","no",5583,502,12.8
1978,"MALAWI","no","no",5763,544,19.6
1979,"MALAWI","no","no",5948,553,13.7
1980,"MALAWI","no","no",6138,554,11.4
1981,"MALAWI","no","no",6328,512,8.4
1982,"MALAWI","no","no",6527,495,10.5
1983,"MALAWI","no","no",6737,487,11.5
1984,"MALAWI","no","no",6957,508,6
1985,"MALAWI","no","no",7188,518,8.4
1960,"MALI","no","no",4175,535,3.1
1961,"MALI","no","no",4278,516,3.2
1962,"MALI","no","no",4382,503,3.6
1963,"MALI","no","no",4488,512,4.1
1964,"MALI","no","no",4598,421,6.8
1965,"MALI","no","no",4711,435,5.4
1966,"MALI","no","no",4829,427,6.7
1967,"MALI","no","no",4950,425,6.8
1968,"MALI","no","no",5076,416,7.8
1969,"MALI","no","no",5204,400,7.4
1970,"MALI","no","no",5335,419,7
1971,"MALI","no","no",5450,421,7.2
1972,"MALI","no","no",5564,440,6.8
1973,"MALI","no","no",5678,424,6.6
1974,"MALI","no","no",5791,432,4.9
1975,"MALI","no","no",5905,461,6
1976,"MALI","no","no",6032,495,5.3
1977,"MALI","no","no",6165,502,6.5
1978,"MALI","no","no",6304,511,6.1
1979,"MALI","no","no",6446,551,6
1980,"MALI","no","no",6590,532,5.8
1981,"MALI","no","no",6733,512,6.5
1982,"MALI","no","no",6883,524,5.8
1983,"MALI","no","no",7041,503,4.9
1984,"MALI","no","no",7210,506,5.3
1985,"MALI","no","no",7389,532,6
1960,"MAURITANIA","no","no",975,780,12.4
1961,"MAURITANIA","no","no",997,846,21.7
1962,"MAURITANIA","no","no",1020,824,23.9
1963,"MAURITANIA","no","no",1043,736,16
1964,"MAURITANIA","no","no",1066,839,4.9
1965,"MAURITANIA","no","no",1091,882,6.1
1966,"MAURITANIA","no","no",1115,856,6.2
1967,"MAURITANIA","no","no",1141,843,10.3
1968,"MAURITANIA","no","no",1167,854,14
1969,"MAURITANIA","no","no",1193,857,10.4
1970,"MAURITANIA","no","no",1221,872,14
1971,"MAURITANIA","no","no",1249,860,14.7
1972,"MAURITANIA","no","no",1277,857,19
1973,"MAURITANIA","no","no",1307,850,5.1
1974,"MAURITANIA","no","no",1338,966,9.1
1975,"MAURITANIA","no","no",1371,915,19.2
1976,"MAURITANIA","no","no",1407,1117,20.6
1977,"MAURITANIA","no","no",1443,1056,19.2
1978,"MAURITANIA","no","no",1480,959,16.3
1979,"MAURITANIA","no","no",1516,931,14.1
1980,"MAURITANIA","no","no",1551,885,21.2
1981,"MAURITANIA","no","no",1586,888,24.8
1982,"MAURITANIA","no","no",1620,885,26.7
1983,"MAURITANIA","no","no",1654,939,9.6
1984,"MAURITANIA","no","no",1690,847,14.2
1985,"MAURITANIA","no","no",1729,824,17
1960,"MAURITIUS","no","no",660,2862,16.3
1961,"MAURITIUS","no","no",675,3322,10.8
1962,"MAURITIUS","no","no",691,3016,10.7
1963,"MAURITIUS","no","no",707,3120,10.5
1964,"MAURITIUS","no","no",723,3300,11.4
1965,"MAURITIUS","no","no",740,3136,9.7
1966,"MAURITIUS","no","no",757,3025,8.5
1967,"MAURITIUS","no","no",774,3148,8.5
1968,"MAURITIUS","no","no",792,3094,6.1
1969,"MAURITIUS","no","no",810,2678,8.7
1970,"MAURITIUS","no","no",829,2398,6.5
1971,"MAURITIUS","no","no",840,2523,9.2
1972,"MAURITIUS","no","no",850,2566,10.2
1973,"MAURITIUS","no","no",860,2584,16.5
1974,"MAURITIUS","no","no",870,3312,15.3
1975,"MAURITIUS","no","no",883,3638,14.2
1976,"MAURITIUS","no","no",898,3931,12.5
1977,"MAURITIUS","no","no",914,4178,11.4
1978,"MAURITIUS","no","no",931,4329,11.8
1979,"MAURITIUS","no","no",948,4412,11.9
1980,"MAURITIUS","no","no",966,3988,7.5
1981,"MAURITIUS","no","no",982,3969,9.1
1982,"MAURITIUS","no","no",995,3905,7.6
1983,"MAURITIUS","no","no",1006,3911,7.4
1984,"MAURITIUS","no","no",1014,4061,8.4
1985,"MAURITIUS","no","no",1020,4226,8.6
1960,"MOROCCO","no","no",11891,815,6.8
1961,"MOROCCO","no","no",12220,994,5
1962,"MOROCCO","no","no",12557,1110,6.2
1963,"MOROCCO","no","no",12905,1246,6.3
1964,"MOROCCO","no","no",13262,1268,5.5
1965,"MOROCCO","no","no",13627,1221,6
1966,"MOROCCO","no","no",13949,1161,5.8
1967,"MOROCCO","no","no",14277,1184,7.8
1968,"MOROCCO","no","no",14613,1277,9.9
1969,"MOROCCO","no","no",14958,1322,6.6
1970,"MOROCCO","no","no",15310,1342,9.4
1971,"MOROCCO","no","no",15712,1367,10
1972,"MOROCCO","no","no",16113,1367,7.9
1973,"MOROCCO","no","no",16511,1384,7.9
1974,"MOROCCO","no","no",16908,1433,8.9
1975,"MOROCCO","no","no",17305,1548,13.4
1976,"MOROCCO","no","no",17702,1745,13.7
1977,"MOROCCO","no","no",18097,1774,15.2
1978,"MOROCCO","no","no",18501,1819,10.7
1979,"MOROCCO","no","no",18926,1879,10.3
1980,"MOROCCO","no","no",19382,1941,10.2
1981,"MOROCCO","no","no",19867,1855,10.4
1982,"MOROCCO","no","no",20378,1954,11.2
1983,"MOROCCO","no","no",20916,1879,9.4
1984,"MOROCCO","no","no",21478,1905,9.7
1985,"MOROCCO","no","no",22061,1956,10.4
1960,"MOZAMBIQUE","no","no",7551,1153,1.8
1961,"MOZAMBIQUE","no","no",7718,1155,1.8
1962,"MOZAMBIQUE","no","no",7888,1227,1.6
1963,"MOZAMBIQUE","no","no",8061,1253,1.6
1964,"MOZAMBIQUE","no","no",8239,1264,1.6
1965,"MOZAMBIQUE","no","no",8421,1265,1.8
1966,"MOZAMBIQUE","no","no",8606,1278,2.1
1967,"MOZAMBIQUE","no","no",8796,1367,1.8
1968,"MOZAMBIQUE","no","no",8990,1429,2
1969,"MOZAMBIQUE","no","no",9188,1500,2.3
1970,"MOZAMBIQUE","no","no",9390,1497,2.7
1971,"MOZAMBIQUE","no","no",9613,1562,2.7
1972,"MOZAMBIQUE","no","no",9845,1590,2.5
1973,"MOZAMBIQUE","no","no",10087,1681,2.2
1974,"MOZAMBIQUE","no","no",10340,1407,1.9
1975,"MOZAMBIQUE","no","no",10606,1182,1.5
1976,"MOZAMBIQUE","no","no",10888,1095,1.8
1977,"MOZAMBIQUE","no","no",11179,1103,1.7
1978,"MOZAMBIQUE","no","no",11479,1072,1.7
1979,"MOZAMBIQUE","no","no",11787,1078,1.7
1980,"MOZAMBIQUE","no","no",12103,923,2
1981,"MOZAMBIQUE","no","no",12426,939,2
1982,"MOZAMBIQUE","no","no",12756,905,2
1983,"MOZAMBIQUE","no","no",13093,866,1
1984,"MOZAMBIQUE","no","no",13438,849,1.2
1985,"MOZAMBIQUE","no","no",13791,749,1.1
1960,"NAMIBIA","no","no",768,1790,22.1
1961,"NAMIBIA","no","no",789,1793,22.1
1962,"NAMIBIA","no","no",812,1973,21.8
1963,"NAMIBIA","no","no",835,2076,21.7
1964,"NAMIBIA","no","no",859,2233,20.9
1965,"NAMIBIA","no","no",883,2325,22.7
1966,"NAMIBIA","no","no",908,2407,25.9
1967,"NAMIBIA","no","no",934,2385,27.4
1968,"NAMIBIA","no","no",961,2407,29
1969,"NAMIBIA","no","no",988,2485,29.5
1970,"NAMIBIA","no","no",1016,2642,32.9
1971,"NAMIBIA","no","no",832,3324,35.6
1972,"NAMIBIA","no","no",854,3499,37.9
1973,"NAMIBIA","no","no",877,3595,36.4
1974,"NAMIBIA","no","no",901,3865,42.7
1975,"NAMIBIA","no","no",926,3608,41.8
1976,"NAMIBIA","no","no",952,3763,42.6
1977,"NAMIBIA","no","no",979,4004,43.9
1978,"NAMIBIA","no","no",1007,4200,44.2
1979,"NAMIBIA","no","no",1036,4313,44.7
1980,"NAMIBIA","no","no",1066,2904,23
1981,"NAMIBIA","no","no",1097,3287,17.7
1982,"NAMIBIA","no","no",1130,3118,12.1
1983,"NAMIBIA","no","no",1163,2891,9.2
1984,"NAMIBIA","no","no",1198,2809,9.4
1985,"NAMIBIA","no","no",1235,2604,8.7
1960,"NIGER","no","no",3234,532,7.4
1961,"NIGER","no","no",3315,553,7.4
1962,"NIGER","no","no",3399,612,10.1
1963,"NIGER","no","no",3484,625,11.8
1964,"NIGER","no","no",3572,603,10.3
1965,"NIGER","no","no",3662,641,8.2
1966,"NIGER","no","no",3754,760,8.1
1967,"NIGER","no","no",3848,756,8.1
1968,"NIGER","no","no",3945,756,8.6
1969,"NIGER","no","no",4044,692,5.6
1970,"NIGER","no","no",4146,805,7.3
1971,"NIGER","no","no",4240,824,5.3
1972,"NIGER","no","no",4343,760,7.6
1973,"NIGER","no","no",4453,580,14.2
1974,"NIGER","no","no",4574,702,10.9
1975,"NIGER","no","no",4704,596,10.3
1976,"NIGER","no","no",4844,588,10.4
1977,"NIGER","no","no",4995,627,10.6
1978,"NIGER","no","no",5158,643,12.6
1979,"NIGER","no","no",5331,706,13.2
1980,"NIGER","no","no",5515,717,11.2
1981,"NIGER","no","no",5710,708,11.3
1982,"NIGER","no","no",5917,714,9.2
1983,"NIGER","no","no",6132,675,8.8
1984,"NIGER","no","no",6348,574,0.7
1985,"NIGER","no","no",6563,559,7.6
1960,"NIGERIA","no","no",51595,567,7.6
1961,"NIGERIA","no","no",52919,551,8.8
1962,"NIGERIA","no","no",54276,553,8.1
1963,"NIGERIA","no","no",55672,582,8.3
1964,"NIGERIA","no","no",57062,606,9.1
1965,"NIGERIA","no","no",58492,624,11.7
1966,"NIGERIA","no","no",59954,582,11.5
1967,"NIGERIA","no","no",61450,485,11.3
1968,"NIGERIA","no","no",62992,482,9.8
1969,"NIGERIA","no","no",64567,625,8.4
1970,"NIGERIA","no","no",66182,767,12.6
1971,"NIGERIA","no","no",54701,1055,14.5
1972,"NIGERIA","no","no",56239,1002,15.5
1973,"NIGERIA","no","no",57835,1068,16.9
1974,"NIGERIA","no","no",59500,1192,15
1975,"NIGERIA","no","no",61241,1245,21.1
1976,"NIGERIA","no","no",63043,1281,26.6
1977,"NIGERIA","no","no",64931,1480,25.1
1978,"NIGERIA","no","no",66911,1513,17.3
1979,"NIGERIA","no","no",68983,1393,15.9
1980,"NIGERIA","no","no",71148,1438,16.9
1981,"NIGERIA","no","no",73409,1515,15.9
1982,"NIGERIA","no","no",75774,1419,12.8
1983,"NIGERIA","no","no",78217,1259,10.9
1984,"NIGERIA","no","no",80699,1068,8.7
1985,"NIGERIA","no","no",83196,1062,7.7
1960,"REUNION","no","no",337,1092,24.2
1961,"REUNION","no","no",348,1134,25.7
1962,"REUNION","no","no",359,1259,28.4
1963,"REUNION","no","no",370,1372,25.9
1964,"REUNION","no","no",381,1377,28.3
1965,"REUNION","no","no",392,1526,33.3
1966,"REUNION","no","no",403,1594,32.4
1967,"REUNION","no","no",415,1600,31.9
1968,"REUNION","no","no",427,1826,31.8
1969,"REUNION","no","no",440,1877,35.3
1970,"REUNION","no","no",450,1960,28.1
1971,"REUNION","no","no",469,1861,30.8
1972,"REUNION","no","no",474,2012,28.2
1973,"REUNION","no","no",477,2185,24.2
1974,"REUNION","no","no",480,2122,22.5
1975,"REUNION","no","no",483,2030,26.8
1976,"REUNION","no","no",486,2257,19.8
1977,"REUNION","no","no",490,2372,18.2
1978,"REUNION","no","no",494,2576,17.9
1979,"REUNION","no","no",500,2739,16.9
1980,"REUNION","no","no",506,2827,15.7
1981,"REUNION","no","no",513,2901,15.8
1982,"REUNION","no","no",522,3074,14.7
1983,"REUNION","no","no",531,3128,14.8
1984,"REUNION","no","no",541,3017,15.5
1985,"REUNION","no","no",550,3093,15.9
1960,"RWANDA","no","no",2753,537,1.4
1961,"RWANDA","no","no",2834,506,1.6
1962,"RWANDA","no","no",2920,467,2
1963,"RWANDA","no","no",3007,448,1.9
1964,"RWANDA","no","no",3097,368,2.3
1965,"RWANDA","no","no",3189,350,2.9
1966,"RWANDA","no","no",3284,487,3
1967,"RWANDA","no","no",3382,545,2.4
1968,"RWANDA","no","no",3484,544,2.8
1969,"RWANDA","no","no",3587,592,2.2
1970,"RWANDA","no","no",3695,647,2.2
1971,"RWANDA","no","no",3821,643,2.8
1972,"RWANDA","no","no",3954,628,2.9
1973,"RWANDA","no","no",4093,621,2.9
1974,"RWANDA","no","no",4236,624,3.1
1975,"RWANDA","no","no",4384,640,4
1976,"RWANDA","no","no",4538,656,4.1
1977,"RWANDA","no","no",4694,669,4.4
1978,"RWANDA","no","no",4850,693,4
1979,"RWANDA","no","no",5007,715,3.1
1980,"RWANDA","no","no",5163,757,4.1
1981,"RWANDA","no","no",5318,846,3.5
1982,"RWANDA","no","no",5471,821,5
1983,"RWANDA","no","no",5626,834,4
1984,"RWANDA","no","no",5788,769,5.7
1985,"RWANDA","no","no",5960,776,7
1960,"SENEGAL","no","no",3498,1047,7.2
1961,"SENEGAL","no","no",3581,1072,6.1
1962,"SENEGAL","no","no",3665,1104,6.1
1963,"SENEGAL","no","no",3751,1134,5.2
1964,"SENEGAL","no","no",3839,1133,5.5
1965,"SENEGAL","no","no",3930,1143,5.2
1966,"SENEGAL","no","no",4023,1155,4.4
1967,"SENEGAL","no","no",4117,1120,4.9
1968,"SENEGAL","no","no",4214,1171,4.5
1969,"SENEGAL","no","no",4313,1036,5.4
1970,"SENEGAL","no","no",4158,1146,6.2
1971,"SENEGAL","no","no",4279,1137,6.2
1972,"SENEGAL","no","no",4405,1133,6.7
1973,"SENEGAL","no","no",4535,1062,7.1
1974,"SENEGAL","no","no",4669,1062,7.4
1975,"SENEGAL","no","no",4806,1123,6
1976,"SENEGAL","no","no",4946,1165,6.5
1977,"SENEGAL","no","no",5089,1156,6.1
1978,"SENEGAL","no","no",5235,1110,5.9
1979,"SENEGAL","no","no",5385,1174,4.7
1980,"SENEGAL","no","no",5538,1134,4.8
1981,"SENEGAL","no","no",5695,1139,3
1982,"SENEGAL","no","no",5855,1203,3.6
1983,"SENEGAL","no","no",6019,1188,3.8
1984,"SENEGAL","no","no",6192,1127,3.6
1985,"SENEGAL","no","no",6375,1163,3
1960,"SEYCHELLES","no","no",42,1258,4.8
1961,"SEYCHELLES","no","no",43,1184,6.2
1962,"SEYCHELLES","no","no",44,1258,6.8
1963,"SEYCHELLES","no","no",45,1365,6.9
1964,"SEYCHELLES","no","no",46,1403,7.3
1965,"SEYCHELLES","no","no",47,1338,8.3
1966,"SEYCHELLES","no","no",48,1346,8
1967,"SEYCHELLES","no","no",49,1423,7.2
1968,"SEYCHELLES","no","no",50,1499,7.2
1969,"SEYCHELLES","no","no",52,1486,12.1
1970,"SEYCHELLES","no","no",53,1664,19.5
1971,"SEYCHELLES","no","no",55,1760,18.2
1972,"SEYCHELLES","no","no",56,1700,32.1
1973,"SEYCHELLES","no","no",57,1821,25.5
1974,"SEYCHELLES","no","no",58,1750,23
1975,"SEYCHELLES","no","no",59,1855,20.4
1976,"SEYCHELLES","no","no",60,2035,22.7
1977,"SEYCHELLES","no","no",61,2311,24
1978,"SEYCHELLES","no","no",62,2391,23.7
1979,"SEYCHELLES","no","no",62,2775,22.4
1980,"SEYCHELLES","no","no",63,2906,22.3
1981,"SEYCHELLES","no","no",64,2726,19.8
1982,"SEYCHELLES","no","no",64,2939,23
1983,"SEYCHELLES","no","no",64,2817,13.4
1984,"SEYCHELLES","no","no",65,2811,15.2
1985,"SEYCHELLES","no","no",65,3183,15.4
1960,"SOMALIA","no","no",2544,1103,6.5
1961,"SOMALIA","no","no",2633,1153,6.1
1962,"SOMALIA","no","no",2726,1213,6
1963,"SOMALIA","no","no",2822,1203,6.1
1964,"SOMALIA","no","no",2921,1071,6.8
1965,"SOMALIA","no","no",3024,959,8.1
1966,"SOMALIA","no","no",3131,1004,8.1
1967,"SOMALIA","no","no",3241,1020,8.5
1968,"SOMALIA","no","no",3354,1017,8.6
1969,"SOMALIA","no","no",3472,833,10.3
1970,"SOMALIA","no","no",3595,921,4.2
1971,"SOMALIA","no","no",4432,782,4
1972,"SOMALIA","no","no",4559,801,5.1
1973,"SOMALIA","no","no",4690,779,5
1974,"SOMALIA","no","no",4827,602,6.4
1975,"SOMALIA","no","no",4967,798,5.1
1976,"SOMALIA","no","no",5111,751,6.9
1977,"SOMALIA","no","no",5261,963,8.5
1978,"SOMALIA","no","no",5417,921,10.7
1979,"SOMALIA","no","no",5578,949,8.2
1980,"SOMALIA","no","no",5746,744,17.9
1981,"SOMALIA","no","no",5920,868,10.9
1982,"SOMALIA","no","no",6101,866,12.1
1983,"SOMALIA","no","no",6289,804,10.4
1984,"SOMALIA","no","no",6484,778,11.8
1985,"SOMALIA","no","no",6686,653,18.1
1960,"SOUTH AFRICA","no","no",18039,2191,16.8
1961,"SOUTH AFRICA","no","no",18439,2214,15.9
1962,"SOUTH AFRICA","no","no",18848,2291,14.3
1963,"SOUTH AFRICA","no","no",19265,2420,17.6
1964,"SOUTH AFRICA","no","no",19692,2545,18.8
1965,"SOUTH AFRICA","no","no",20128,2617,21.4
1966,"SOUTH AFRICA","no","no",20575,2684,18.5
1967,"SOUTH AFRICA","no","no",21031,2787,22.1
1968,"SOUTH AFRICA","no","no",21495,2861,19
1969,"SOUTH AFRICA","no","no",21972,3004,21
1970,"SOUTH AFRICA","no","no",22458,3254,20.8
1971,"SOUTH AFRICA","no","no",23076,3348,21.9
1972,"SOUTH AFRICA","no","no",23736,3271,18.7
1973,"SOUTH AFRICA","no","no",24426,3408,19.6
1974,"SOUTH AFRICA","no","no",25132,3625,21.2
1975,"SOUTH AFRICA","no","no",25842,3569,21.9
1976,"SOUTH AFRICA","no","no",26550,3527,18.8
1977,"SOUTH AFRICA","no","no",27272,3326,18.5
1978,"SOUTH AFRICA","no","no",28009,3340,17.3
1979,"SOUTH AFRICA","no","no",28761,3347,18.7
1980,"SOUTH AFRICA","no","no",29529,3496,23
1981,"SOUTH AFRICA","no","no",30313,3676,23.7
1982,"SOUTH AFRICA","no","no",31113,3588,18
1983,"SOUTH AFRICA","no","no",31928,3363,19.3
1984,"SOUTH AFRICA","no","no",32757,3501,18.6
1985,"SOUTH AFRICA","no","no",33597,3322,15.2
1960,"SWAZILAND","no","no",306,1248,8.5
1961,"SWAZILAND","no","no",316,1539,9.7
1962,"SWAZILAND","no","no",325,1632,13
1963,"SWAZILAND","no","no",336,1632,15.7
1964,"SWAZILAND","no","no",347,1747,18.1
1965,"SWAZILAND","no","no",358,1705,14.2
1966,"SWAZILAND","no","no",370,1824,12.7
1967,"SWAZILAND","no","no",381,1731,10.1
1968,"SWAZILAND","no","no",394,1873,9.6
1969,"SWAZILAND","no","no",407,2207,8.3
1970,"SWAZILAND","no","no",420,2531,8.3
1971,"SWAZILAND","no","no",430,2459,9.6
1972,"SWAZILAND","no","no",442,2637,10.4
1973,"SWAZILAND","no","no",454,2585,12
1974,"SWAZILAND","no","no",468,2240,16.3
1975,"SWAZILAND","no","no",482,2571,9.2
1976,"SWAZILAND","no","no",498,2408,15.3
1977,"SWAZILAND","no","no",514,2600,12.6
1978,"SWAZILAND","no","no",531,2842,19.4
1979,"SWAZILAND","no","no",548,3200,14
1980,"SWAZILAND","no","no",565,3057,10.3
1981,"SWAZILAND","no","no",582,3472,9.6
1982,"SWAZILAND","no","no",600,2845,11.9
1983,"SWAZILAND","no","no",617,2368,14.3
1984,"SWAZILAND","no","no",637,2553,13.9
1985,"SWAZILAND","no","no",659,2198,14.7
1960,"TANZANIA","no","no",10027,319,6.8
1961,"TANZANIA","no","no",10329,303,8
1962,"TANZANIA","no","no",10643,326,6.8
1963,"TANZANIA","no","no",10966,329,6.3
1964,"TANZANIA","no","no",11297,371,8.3
1965,"TANZANIA","no","no",11640,371,9.4
1966,"TANZANIA","no","no",11993,384,9.9
1967,"TANZANIA","no","no",12355,397,10.9
1968,"TANZANIA","no","no",12729,419,11
1969,"TANZANIA","no","no",13116,419,9.7
1970,"TANZANIA","no","no",13513,424,13.6
1971,"TANZANIA","no","no",13877,438,15.3
1972,"TANZANIA","no","no",14223,432,12.1
1973,"TANZANIA","no","no",14572,469,11.4
1974,"TANZANIA","no","no",14951,508,11.6
1975,"TANZANIA","no","no",15379,509,10.3
1976,"TANZANIA","no","no",15877,495,11.5
1977,"TANZANIA","no","no",16402,482,13.4
1978,"TANZANIA","no","no",17000,543,11.2
1979,"TANZANIA","no","no",17516,535,11.3
1980,"TANZANIA","no","no",18098,480,11.4
1981,"TANZANIA","no","no",18692,461,11.9
1982,"TANZANIA","no","no",19298,466,11.8
1983,"TANZANIA","no","no",19912,422,8.9
1984,"TANZANIA","no","no",20533,463,10.8
1985,"TANZANIA","no","no",21161,473,12.3
1960,"TOGO","no","no",1514,367,8.5
1961,"TOGO","no","no",1558,366,6.2
1962,"TOGO","no","no",1604,371,7.5
1963,"TOGO","no","no",1651,357,10.9
1964,"TOGO","no","no",1699,418,17.9
1965,"TOGO","no","no",1749,489,19.4
1966,"TOGO","no","no",1800,493,14.4
1967,"TOGO","no","no",1853,530,11
1968,"TOGO","no","no",1907,530,10.5
1969,"TOGO","no","no",1963,561,11.7
1970,"TOGO","no","no",2020,618,13.8
1971,"TOGO","no","no",2070,563,16.3
1972,"TOGO","no","no",2121,596,16.5
1973,"TOGO","no","no",2173,601,16.8
1974,"TOGO","no","no",2227,621,16.2
1975,"TOGO","no","no",2282,618,23.3
1976,"TOGO","no","no",2341,650,17.7
1977,"TOGO","no","no",2404,677,29.3
1978,"TOGO","no","no",2471,704,32.3
1979,"TOGO","no","no",2541,679,30.8
1980,"TOGO","no","no",2615,731,18.2
1981,"TOGO","no","no",2692,683,18.3
1982,"TOGO","no","no",2773,654,15.4
1983,"TOGO","no","no",2858,589,13.2
1984,"TOGO","no","no",2946,618,12.5
1985,"TOGO","no","no",3038,637,14.2
1960,"TUNISIA","no","no",4221,1101,8
1961,"TUNISIA","no","no",4298,1136,10.3
1962,"TUNISIA","no","no",4376,1110,13.7
1963,"TUNISIA","no","no",4456,1188,14.2
1964,"TUNISIA","no","no",4541,1201,15.3
1965,"TUNISIA","no","no",4630,1236,14.7
1966,"TUNISIA","no","no",4716,1245,14.1
1967,"TUNISIA","no","no",4819,1224,23.6
1968,"TUNISIA","no","no",4920,1261,22.1
1969,"TUNISIA","no","no",5028,1323,20.3
1970,"TUNISIA","no","no",5127,1442,17.5
1971,"TUNISIA","no","no",5208,1533,17
1972,"TUNISIA","no","no",5294,1736,18.8
1973,"TUNISIA","no","no",5389,1805,14.8
1974,"TUNISIA","no","no",5494,1880,17.1
1975,"TUNISIA","no","no",5611,2050,15.2
1976,"TUNISIA","no","no",5742,2137,15.7
1977,"TUNISIA","no","no",5889,2225,15
1978,"TUNISIA","no","no",6048,2295,15.7
1979,"TUNISIA","no","no",6215,2368,15.8
1980,"TUNISIA","no","no",6384,2527,14.5
1981,"TUNISIA","no","no",6557,2621,15.7
1982,"TUNISIA","no","no",6732,2597,15.3
1983,"TUNISIA","no","no",6909,2646,14.3
1984,"TUNISIA","no","no",7086,2727,14.7
1985,"TUNISIA","no","no",7261,2758,12.4
1960,"UGANDA","no","no",6563,598,2.1
1961,"UGANDA","no","no",6839,573,2.5
1962,"UGANDA","no","no",7127,585,2.5
1963,"UGANDA","no","no",7427,601,2.9
1964,"UGANDA","no","no",7739,606,3.8
1965,"UGANDA","no","no",8065,614,3.4
1966,"UGANDA","no","no",8404,644,3.1
1967,"UGANDA","no","no",8758,635,3.5
1968,"UGANDA","no","no",9127,627,3.6
1969,"UGANDA","no","no",9511,653,4
1970,"UGANDA","no","no",9812,647,3.2
1971,"UGANDA","no","no",10120,670,3.3
1972,"UGANDA","no","no",10400,660,2.1
1973,"UGANDA","no","no",10666,634,2.1
1974,"UGANDA","no","no",10938,627,2.4
1975,"UGANDA","no","no",11228,618,1.8
1976,"UGANDA","no","no",11534,605,1.7
1977,"UGANDA","no","no",11862,602,2.1
1978,"UGANDA","no","no",12197,574,3.1
1979,"UGANDA","no","no",12516,572,1.9
1980,"UGANDA","no","no",12807,534,2.1
1981,"UGANDA","no","no",13079,892,1.9
1982,"UGANDA","no","no",13340,978,2.9
1983,"UGANDA","no","no",13596,1095,2.9
1984,"UGANDA","no","no",13857,576,0.8
1985,"UGANDA","no","no",14134,540,1
1960,"ZAIRE","no","no",15986,489,1.8
1961,"ZAIRE","no","no",16292,463,1.6
1962,"ZAIRE","no","no",16604,586,0.8
1963,"ZAIRE","no","no",16923,560,2.4
1964,"ZAIRE","no","no",17247,534,2.7
1965,"ZAIRE","no","no",17578,548,2.6
1966,"ZAIRE","no","no",17944,615,2.1
1967,"ZAIRE","no","no",18316,599,2.2
1968,"ZAIRE","no","no",18696,596,2.3
1969,"ZAIRE","no","no",19086,624,3
1970,"ZAIRE","no","no",19769,686,3.3
1971,"ZAIRE","no","no",20823,675,4.2
